                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1042,                 2.7602,                 1.2037,                0.07053,                      1,                0.89731,                0.76234,                0.57909,                 2.4305,                0.87858,             0.00020004,             0.00020004,             0.00020004
                      2,                0.98027,                 1.0112,                 1.1119,                 0.9687,                0.99839,                0.96438,                 0.8276,                0.58345,                 1.4825,                0.89906,             0.00041262,             0.00041262,             0.00041262
                      3,                 1.0001,                0.83809,                 1.1299,                 0.9419,                 0.9871,                0.94972,                0.78785,                0.69866,                 1.1181,                0.91189,             0.00062092,             0.00062092,             0.00062092
                      4,                 0.9689,                0.78428,                 1.0804,                0.94961,                      1,                0.95613,                0.77325,                0.71261,                0.86373,                0.91771,             0.00082492,             0.00082492,             0.00082492
                      5,                0.92884,                0.71851,                 1.0607,                0.96817,                      1,                0.96438,                 0.8131,                0.61236,                0.68288,                0.89169,              0.0010246,              0.0010246,              0.0010246
                      6,                0.97542,                0.70527,                 1.0808,                0.96809,                      1,                0.96719,                0.82665,                0.64176,                0.75795,                0.90324,              0.0012201,              0.0012201,              0.0012201
                      7,                 0.9704,                0.70063,                 1.0726,                0.96798,                      1,                  0.965,                0.80383,                0.64297,                0.66396,                  0.905,              0.0014112,              0.0014112,              0.0014112
                      8,                0.93548,                0.70583,                 1.0745,                0.96794,                      1,                0.96469,                0.80715,                0.67774,                0.68228,                0.90701,              0.0015515,              0.0015515,              0.0015515
                      9,                0.94762,                 0.6855,                 1.0901,                0.96758,                      1,                0.96438,                0.81139,                 0.6772,                0.65639,                0.92411,              0.0015515,              0.0015515,              0.0015515
                     10,                0.93713,                0.67074,                 1.0731,                0.96823,                      1,                0.96473,                0.83981,                0.58548,                 0.6242,                0.88858,               0.001535,               0.001535,               0.001535
                     11,                0.93625,                0.64119,                  1.074,                0.96783,                      1,                0.96739,                0.81928,                0.61681,                0.64202,                0.90348,              0.0015185,              0.0015185,              0.0015185
                     12,                0.92282,                0.64624,                 1.0697,                0.96828,                      1,                  0.969,                0.83431,                0.60404,                 0.5632,                 0.8959,               0.001502,               0.001502,               0.001502
                     13,                 0.9011,                0.61504,                 1.0495,                0.96829,                      1,                0.96594,                  0.835,                0.58204,                0.57446,                0.89256,              0.0014855,              0.0014855,              0.0014855
                     14,                0.90256,                0.62099,                 1.0698,                0.96831,                      1,                0.96483,                0.82499,                0.59576,                0.53838,                 0.8991,               0.001469,               0.001469,               0.001469
                     15,                0.90068,                0.61283,                 1.0754,                0.96788,                      1,                0.96843,                0.85142,                0.54985,                0.51925,                0.88341,              0.0014525,              0.0014525,              0.0014525
                     16,                0.91174,                0.61332,                 1.0642,                0.96809,                      1,                0.96898,                0.82987,                0.60217,                0.50215,                0.89499,               0.001436,               0.001436,               0.001436
                     17,                0.90795,                0.59324,                 1.0684,                 0.9683,                      1,                0.96759,                0.84072,                0.57016,                0.46917,                0.89409,              0.0014195,              0.0014195,              0.0014195
                     18,                0.84771,                0.57222,                 1.0439,                0.96828,                      1,                0.98178,                0.85668,                0.54397,                0.47949,                0.88523,              0.0014029,              0.0014029,              0.0014029
